,WRank,LRank,Surface,WPts,LPts,A,B,C,D,E,ACourt,BCourt,CCourt,DCourt,ECourt,AOpponentRank,BOpponentRank,COpponentRank,DOpponentRank,EOpponentRank,APlayerRank,BPlayerRank,CPlayerRank,DPlayerRank,EPlayerRank
0,91,18.0,2,608,2230.0,0,0,0,0,1,2,2,2,2,2,74.0,64.0,80.0,187.0,109.0,86.0,88.0,87.0,89.0,91.0
0,27,91.0,2,1655,608.0,0,0,0,1,1,2,2,2,2,2,64.0,80.0,187.0,109.0,91.0,88.0,87.0,89.0,91.0,18.0
0,18,87.0,2,2205,643.0,0,0,1,1,0,2,2,2,2,2,80.0,187.0,109.0,91.0,91.0,87.0,89.0,91.0,18.0,27.0
0,8,86.0,2,2825,643.0,0,1,1,0,0,2,2,2,2,2,187.0,109.0,91.0,91.0,87.0,89.0,91.0,18.0,27.0,18.0
0,71,88.0,2,756,643.0,1,1,0,0,0,2,2,2,2,2,109.0,91.0,91.0,87.0,86.0,91.0,18.0,27.0,18.0,8.0
0,93,103.0,2,627,574.0,1,0,0,0,0,2,2,2,2,2,91.0,91.0,87.0,86.0,88.0,18.0,27.0,18.0,8.0,71.0
0,14,93.0,2,2265,627.0,0,0,0,0,1,2,2,2,2,2,91.0,87.0,86.0,88.0,93.0,27.0,18.0,8.0,71.0,103.0
0,93,62.0,1,626,851.0,0,0,0,1,0,2,2,2,2,2,87.0,86.0,88.0,93.0,93.0,18.0,8.0,71.0,103.0,14.0
0,26,93.0,1,1627,626.0,0,0,1,0,1,2,2,2,2,1,86.0,88.0,93.0,93.0,93.0,8.0,71.0,103.0,14.0,62.0
0,94,97.0,1,645,626.0,0,1,0,1,0,2,2,2,1,1,88.0,93.0,93.0,93.0,93.0,71.0,103.0,14.0,62.0,26.0
0,121,98.0,1,452,626.0,1,0,1,0,0,2,2,1,1,1,93.0,93.0,93.0,93.0,97.0,103.0,14.0,62.0,26.0,94.0
0,97,66.0,1,626,835.0,0,1,0,0,0,2,1,1,1,1,93.0,93.0,93.0,97.0,98.0,14.0,62.0,26.0,94.0,121.0
0,10,97.0,1,2955,626.0,1,0,0,0,1,1,1,1,1,1,93.0,93.0,97.0,98.0,97.0,62.0,26.0,94.0,121.0,66.0
0,97,197.0,1,634,303.0,0,0,0,1,0,1,1,1,1,1,93.0,97.0,98.0,97.0,97.0,26.0,94.0,121.0,66.0,10.0
0,29,97.0,1,1415,634.0,0,0,1,0,1,1,1,1,1,1,97.0,98.0,97.0,97.0,97.0,94.0,121.0,66.0,10.0,197.0
0,98,12.0,3,586,2145.0,0,1,0,1,0,1,1,1,1,1,98.0,97.0,97.0,97.0,97.0,121.0,66.0,10.0,197.0,29.0
0,98,71.0,3,586,770.0,1,0,1,0,1,1,1,1,1,3,97.0,97.0,97.0,97.0,98.0,66.0,10.0,197.0,29.0,12.0
0,10,98.0,3,3045,586.0,0,1,0,1,1,1,1,1,3,3,97.0,97.0,97.0,98.0,98.0,10.0,197.0,29.0,12.0,71.0
0,136,93.0,1,418,612.0,1,0,1,1,0,1,1,3,3,3,97.0,97.0,98.0,98.0,98.0,197.0,29.0,12.0,71.0,10.0
0,84,97.0,1,687,598.0,0,1,1,0,0,1,3,3,3,1,97.0,98.0,98.0,98.0,93.0,29.0,12.0,71.0,10.0,136.0
0,98,82.0,1,578,701.0,1,1,0,0,0,3,3,3,1,1,98.0,98.0,98.0,93.0,97.0,12.0,71.0,10.0,136.0,84.0
0,54,98.0,1,927,578.0,1,0,0,0,1,3,3,1,1,1,98.0,98.0,93.0,97.0,98.0,71.0,10.0,136.0,84.0,82.0
0,118,96.0,2,475,598.0,0,0,0,1,0,3,1,1,1,1,98.0,93.0,97.0,98.0,98.0,10.0,136.0,84.0,82.0,54.0
0,30,95.0,2,1345,598.0,0,0,1,0,0,1,1,1,1,2,93.0,97.0,98.0,98.0,96.0,136.0,84.0,82.0,54.0,118.0
0,107,68.0,2,493,799.0,0,1,0,0,0,1,1,1,2,2,97.0,98.0,98.0,96.0,95.0,84.0,82.0,54.0,118.0,30.0
0,107,43.0,2,493,1047.0,1,0,0,0,1,1,1,2,2,2,98.0,98.0,96.0,95.0,107.0,82.0,54.0,118.0,30.0,68.0
0,107,103.0,2,493,540.0,0,0,0,1,1,1,2,2,2,2,98.0,96.0,95.0,107.0,107.0,54.0,118.0,30.0,68.0,43.0
0,39,107.0,2,1115,493.0,0,0,1,1,1,2,2,2,2,2,96.0,95.0,107.0,107.0,107.0,118.0,30.0,68.0,43.0,103.0
0,86,102.0,2,677,577.0,0,1,1,1,0,2,2,2,2,2,95.0,107.0,107.0,107.0,107.0,30.0,68.0,43.0,103.0,39.0
