,P1Rank,P2Rank,P1Pts,P2Pts,Surface,AP1Surface,AP1Rank,AP1OppRank,BP1Surface,BP1Rank,BP1OppRank,CP1Surface,CP1Rank,CP1OppRank,AP2Surface,AP2Rank,AP2OppRank,BP2Surface,BP2Rank,BP2OppRank,CP2Surface,CP2Rank,CP2OppRank,AP1Win,BP1Win,CP1Win,AP2Win,BP2Win,CP2Win
0,103,107,540,493,2,2,107,103,2,107,103,2,107,103,2,107,103,2,107,103,2,107,103,1,1,0,1,1,0
29,43,107,1047,493,2,2,107,43,2,107,43,2,107,43,2,107,43,2,107,43,2,107,43,1,0,0,1,0,0
58,68,107,799,493,2,2,107,68,2,107,68,2,107,68,2,107,68,2,107,68,2,107,68,0,1,0,0,0,0
87,95,30,598,1345,2,2,30,95,2,30,95,2,30,95,2,30,95,2,30,95,2,30,95,0,0,1,0,1,1
116,96,118,598,475,2,2,118,96,2,118,96,2,118,96,2,118,96,2,118,96,2,118,96,0,1,0,1,0,0
145,54,98,927,578,1,1,54,98,1,54,98,1,54,98,1,54,98,1,54,98,1,54,98,1,1,1,1,0,0
174,98,82,578,701,1,1,98,82,1,98,82,1,98,82,1,98,82,1,98,82,1,98,82,0,0,0,0,1,1
203,97,84,598,687,1,1,84,97,1,84,97,1,84,97,1,84,97,1,84,97,1,84,97,0,0,1,0,1,0
232,8,6,3895,4310,2,2,6,8,2,6,8,2,6,8,2,6,8,2,6,8,2,6,8,0,1,1,0,1,1
261,11,6,3210,4230,2,2,11,6,2,11,6,2,11,6,2,11,6,2,11,6,2,11,6,1,0,1,1,1,1
290,22,6,1767,4230,2,2,6,22,2,6,22,2,6,22,2,6,22,2,6,22,2,6,22,1,0,0,1,1,1
319,11,8,2910,3730,2,2,8,11,2,8,11,2,8,11,2,8,11,2,8,11,2,8,11,1,1,1,1,1,1
348,8,30,3730,1410,2,2,8,30,2,8,30,2,8,30,2,8,30,2,8,30,2,8,30,1,1,1,1,1,1
377,8,13,3730,2415,2,2,8,13,2,8,13,2,8,13,2,8,13,2,8,13,2,8,13,1,1,0,1,1,0
406,118,40,475,1077,2,2,118,40,2,118,40,2,118,40,2,118,40,2,118,40,2,118,40,0,0,0,0,1,1
435,139,118,421,490,1,1,139,118,1,139,118,1,139,118,1,139,118,1,139,118,1,139,118,0,1,0,0,0,0
464,104,52,545,966,1,1,52,104,1,52,104,1,52,104,1,52,104,1,52,104,1,52,104,0,0,1,0,1,0
493,15,153,2175,376,1,1,15,153,1,15,153,1,15,153,1,15,153,1,15,153,1,15,153,1,0,1,1,1,1
522,153,106,376,536,1,1,153,106,1,153,106,1,153,106,1,153,106,1,153,106,1,153,106,1,1,1,1,0,1
551,26,355,1627,126,1,1,355,26,1,355,26,1,355,26,1,355,26,1,355,26,1,355,26,1,1,1,1,1,1
580,166,155,340,373,2,2,166,155,2,166,155,2,166,155,2,166,155,2,166,155,2,166,155,1,0,0,0,0,0
609,166,82,340,698,2,2,166,82,2,166,82,2,166,82,2,166,82,2,166,82,2,166,82,0,0,1,0,1,0
638,27,159,1530,356,3,3,27,159,3,27,159,3,27,159,3,27,159,3,27,159,3,27,159,0,1,1,0,1,0
667,93,106,615,521,2,2,93,106,2,93,106,2,93,106,2,93,106,2,93,106,2,93,106,0,0,1,0,0,0
696,92,69,635,815,2,2,69,92,2,69,92,2,69,92,2,69,92,2,69,92,2,69,92,0,1,0,0,0,0
725,91,23,644,1685,2,2,23,91,2,23,91,2,23,91,2,23,91,2,23,91,2,23,91,1,0,1,0,1,0
754,91,55,644,920,2,2,91,55,2,91,55,2,91,55,2,91,55,2,91,55,2,91,55,0,1,1,0,0,0
783,55,95,917,599,2,2,55,95,2,55,95,2,55,95,2,55,95,2,55,95,2,55,95,1,0,0,1,1,0
812,42,95,1030,599,2,2,95,42,2,95,42,2,95,42,2,95,42,2,95,42,2,95,42,1,0,1,1,0,0
841,169,95,333,599,2,2,95,169,2,95,169,2,95,169,2,95,169,2,95,169,2,95,169,0,0,0,0,0,1
870,95,96,600,599,1,1,95,96,1,95,96,1,95,96,1,95,96,1,95,96,1,95,96,0,1,0,0,1,0
899,95,40,599,1130,3,3,40,95,3,40,95,3,40,95,3,40,95,3,40,95,3,40,95,1,0,0,1,0,1
928,7,95,3835,599,3,3,95,7,3,95,7,3,95,7,3,95,7,3,95,7,3,95,7,0,1,0,0,0,0
957,176,84,328,689,3,3,176,84,3,176,84,3,176,84,3,176,84,3,176,84,3,176,84,0,0,0,0,0,0
986,78,110,715,486,2,2,110,78,2,110,78,2,110,78,2,110,78,2,110,78,2,110,78,0,0,0,0,0,0
1015,81,9,713,3485,2,2,9,81,2,9,81,2,9,81,2,9,81,2,9,81,2,9,81,0,0,0,0,0,0
